,canonical_smiles
836,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1
857,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
858,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
864,ClCc1ccccc1
865,OCC(O)COc1ccc(Cl)cc1
866,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
890,Cc1ccc(O)cc1
891,CC=CC(=O)N(CC)c1ccccc1C
899,Clc1ccc(Cl)cc1
910,CC(N)Cc1ccccc1
920,CCN(CC)C(C)C(=O)c1ccccc1
927,CCCCCOC(=O)c1ccccc1C(=O)OCCCCC
932,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1
935,O=S(=O)(O)OCCOc1ccc(Cl)cc1Cl
964,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
976,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C
978,CCOC(=O)C=C(C)C=CC=C(C)C=Cc1c(C)cc(OC)c(C)c1C
981,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1
1006,CC(C)c1cccc(C(C)C)c1OCOP(=O)(O)O
1011,CCOC(=O)c1ccc(OC(=O)CCCCCN=C(N)N)cc1
1024,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
1029,CC(C)Cc1ccc(C(C)C(=O)O)cc1
1035,NC(N)=NCc1cccc([131I])c1
1036,CN(CC(O)CO)C(=O)c1c(I)c(NC(=O)C(CO)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I
1037,CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I
1038,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
1039,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O
1040,CN(C)C=Nc1c(I)cc(I)c(CCC(=O)O)c1I
1042,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1
1051,CC(N)C(=O)c1ccccc1
1053,COCC(NC(C)=O)C(=O)NCc1ccccc1
1060,NC(Cc1ccc(O)c(O)c1)C(=O)O
1064,CC(Cc1ccccc1)NC(=O)C(N)CCCCN
1078,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
1089,COc1ccc(OC)c(C(O)C(C)N)c1
1091,CNc1ccccc1
1099,CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I
1110,Nc1cccc([N+](=O)[O-])c1
1115,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C
1129,CN(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-]
1140,Oc1ccccc1Br
1142,Clc1ccccc1Cl
1146,CC(C)NCC(O)c1cc(O)cc(O)c1
1151,C=CCOc1ccccc1OCC(O)CNC(C)C
1159,Nc1ccc(O)cc1
1171,Cc1ccc(S(=O)(=O)O)cc1C
1175,CCOc1ccc(NC(C)=O)cc1
1177,Oc1ccccc1
1180,S=C=Nc1ccccc1
1181,O=C(O)CCCc1ccccc1
1182,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1
1203,CCCNC(C)C(=O)Nc1ccccc1C
1204,CCN(CC)CCOC(=O)c1ccc(N)cc1
1207,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N
1221,Oc1cccc(O)c1
1236,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl
1252,O=C(O)c1ccccc1
1256,C=Cc1ccccc1
1282,CCCCNc1ccc(C(=O)OCCN(C)C)cc1
1285,Sc1ccccc1
1293,Cc1cccc(C)c1NC(=O)C(C)N
1295,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
1308,CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)O)c1I
1328,NCCc1ccc(O)c(O)c1
1329,Nc1ccc(C(=O)NCC(=O)O)cc1
1360,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
1371,Cc1cccc(C)c1OCC(C)N
1380,Oc1ccc(Br)cc1
1381,Brc1ccccc1
1407,CCCCC(CC)COC(=O)C=Cc1ccc(OC)cc1
1429,CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I
1430,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C
1438,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1
1440,C=CCOc1ccc(CC(=O)O)cc1Cl
1450,C=CCc1ccccc1OCC(O)CNC(C)C
1472,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O
1481,NCC(CC(=O)O)c1ccc(Cl)cc1
1488,O=C(CNC(=O)c1ccc(Cl)cc1)NO
1491,CCOC(=O)c1ccc(N)cc1
1522,CCCCOc1ccc(CC(=O)NO)cc1
1524,Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1
1527,CCC(C(=O)O)c1ccc(CC(C)C)cc1
1583,COCCCCC(=NOCCN)c1ccc(Cl)cc1
1618,CCN(CC)C(=O)c1cccc(C)c1
1623,CN(C(=O)C(Cl)Cl)c1ccc(O)cc1
1635,NC(C(=O)O)C(O)c1ccc(O)c(O)c1
1645,CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1
1648,CNCC(O)c1ccc(O)c(O)c1
1660,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
1719,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
1762,CC(C)Cc1ccc(CC(=O)O)cc1
1763,CC(C)Cc1ccc(C(C)C(=O)NO)cc1
1774,CN(C(=O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
