,canonical_smiles
2981,O=C1N(CC2CCCCN2)CCN1c1cccc(Cl)c1
230,Cc1ccc(N2CCN(CC(O)COc3ccccc3C(=O)CCc3ccccc3)CC2)cc1
158,CN1CCN(c2ccc3nc(-c4ccccc4)c(-c4ccc(CN5CCC(c6nnc(-c7ccc(N)nc7)[nH]6)CC5)cc4)nc3n2)CC1
258,O=C(c1nnc(-c2ccc(OC(F)F)cc2)o1)N1CCC(Oc2ccc(CN3CCCC3)cc2)CC1
3304,O=C(c1nnc(-c2ccc(F)cc2)o1)N1CCC(Oc2ccc(CN3CCCC3)cc2)CC1
3430,O=C(c1nnc(-c2ccc(Cl)cc2)o1)N1CCC(Oc2ccc(CN3CCCC3)cc2)CC1
3471,O=C(c1nnc(-c2ccccc2Cl)o1)N1CCC(Oc2ccc(CN3CCCC3)cc2)CC1
2082,CCOc1ccc(NS(=O)(=O)c2cccc(C(=O)N(C)Cc3nc4ccccc4s3)c2)cc1
3365,C[C@@H]1CN(C(=O)[C@H]2CN(C(C)(C)C)C[C@@H]2c2ccc(F)cc2F)C[C@H](C)[C@@]1(O)c1ccccn1
1905,Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)sc2ncnn12
2342,CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCC3(CCC(=O)O3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
2126,CC(C)(C)COc1ccc2c(c1)[C@]1(COC(N)=N1)c1cc(-c3ccccn3)ccc1O2
2681,C[C@H](NC(=O)c1cc(S(=O)(=O)N2CCOCC2)ccc1N1CCCCC1)c1cc2ccccc2o1
3096,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(s2)COC/1
426,COc1cc(-c2cn(C3CC(C4CCCCC4)CCNC3=O)nn2)ccc1-n1cnc(C)c1
381,CN(C(=O)Cc1ccc(CNS(C)(=O)=O)cc1)[C@@H](CN1CC[C@@H](O)C1)c1ccccc1
1056,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(I)cc2)CC1
3384,CNC(=O)c1c(NCC2CCC3(CC2)OCCO3)nc(C#N)nc1OCC1CCN(C)CC1
1075,NC(=O)c1cccc(OC2CC3CCC(C2)N3C2(c3ccccc3)CC2)c1
66,CCc1nc2ccccc2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1
356,CC(C)c1nc2ccccc2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1
683,CCCc1nc2ccccc2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1
1202,Cc1cccc2c(=O)n(-c3ccc(OCCCN4CCCC4)cc3)c(C)nc12
1911,O=c1c2ccccc2ncn1-c1ccc(OCCCN2CCCC2)cc1
2591,Cc1nc2cccc(Cl)c2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1
2982,Cc1nc2cccc(C(F)(F)F)c2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1
2991,Cc1nc2ccccc2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1
3283,COc1ccc2c(=O)n(-c3ccc(OCCCN4CCCC4)cc3)c(C)nc2c1
3312,COc1cccc2nc(C)n(-c3ccc(OCCCN4CCCC4)cc3)c(=O)c12
3318,Cc1nc2ccccc2c(=O)n1-c1ccc(OCCCN2CCCC2C)cc1
3320,COc1cccc2c(=O)n(-c3ccc(OCCCN4CCCC4)cc3)c(C)nc12
3332,Cc1nc2cc(F)ccc2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1
1423,O=C(NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CCn2cccc2[C@H]1c1ccccc1
2725,CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1CC2(C=N1)CCNCC2
3307,NC1CN(c2ccc(-n3ccc(OCc4ccccc4)cc3=O)cn2)CC1c1cc(F)c(F)cc1F
1313,Cc1cccnc1CN1CCC2(CC1)C(=O)N(c1ccc(-c3ccc4scnc4c3)cc1)C(=O)N2c1cc(=O)[nH]cn1
2071,C[C@@](O)(c1ccc(CN2CCC3(CC2)OCc2cc(F)ncc23)cc1)c1ccc(F)c(F)c1
2079,O[C@H](c1ccc(CN2CCC3(CC2)OCc2cc(F)ncc23)cc1)c1ccc(F)c(F)c1
3827,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
3870,COc1ccc2c(c1)c(CC(=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1
305,COCCN1CCN(c2cc(Nc3ncc(C#N)s3)ncn2)CC1
521,CC(=O)N1CCN(c2cc(Nc3ncc(C#N)s3)ncn2)CC1
1742,CN1CCN(c2cc(Nc3ncc(C#N)s3)ncn2)CC1
135,CNCc1cc(S(=O)(=O)NC)ccc1Oc1ccc(Cl)c(Cl)c1
187,CCc1cc(Oc2ccc(F)cc2CNC)ccc1Cl
218,CNCc1ccccc1Oc1ccc(Cl)cc1OC
364,CNCc1cc(C(N)=O)ccc1Oc1ccc(Cl)cc1C
372,CNC(C)c1ccccc1Oc1ccc(Cl)c(Cl)c1
393,CNCc1cc(C(=O)N(C)C)ccc1Oc1ccc(Cl)cc1C
497,Cc1ccc(Oc2ccc(Cl)c(Cl)c2)c(CN(C)C)c1
604,CNCc1ccc(Cl)cc1Oc1ccc(F)c(C)c1
606,CNC(C)c1cc(C(F)(F)F)ccc1Oc1ccc(Cl)c(Cl)c1
608,CSc1ccc(Oc2ccccc2CN(C)C)cc1
829,CNC(C)c1ccc(Cl)cc1Oc1ccc(C)c(C)c1
906,CNCc1cc(C#N)ccc1Oc1ccc(Cl)cc1Cl
936,CNCc1cc(F)c(OC)cc1Oc1ccc(Cl)c(Cl)c1
939,CN(C)Cc1ccccc1Oc1ccc(Cl)c(Cl)c1
1120,CNCc1cc(C(=O)NC)ccc1Oc1ccc(Cl)cc1Cl
1192,CNCc1ccc(Cl)cc1Oc1ccc(C)cc1
1321,CNCc1cc(C)c(C)cc1Oc1ccc(Cl)c(Cl)c1
1461,CNCc1ccc(Cl)cc1Oc1ccc(Cl)c(Cl)c1
1531,CCc1cc(Oc2cc(Cl)ccc2CNC)ccc1Cl
1534,CN(C)Cc1ccc(C(F)(F)F)cc1Oc1ccc(Cl)c(Cl)c1
1697,CNCc1ccc(Br)cc1Oc1ccc(Cl)c(Cl)c1
1738,CC(c1ccccc1Oc1ccc(Cl)c(Cl)c1)N(C)C
1766,CNCc1ccc(Cl)cc1Oc1ccc(F)c(C(F)(F)F)c1
1867,CNC(C)c1ccc(OC)cc1Oc1ccc(Cl)c(Cl)c1
1936,CNCc1ccc(OC)cc1Oc1ccc(Cl)c(Cl)c1
2415,COc1ccc(CN(C)C)c(Oc2ccc(Cl)c(Cl)c2)c1
3095,CNCc1cc(NS(C)(=O)=O)ccc1Oc1ccc(Cl)cc1C
3424,CNCc1cc(F)ccc1Oc1ccc(Cl)c(Cl)c1
3438,CNCc1cc(C(N)=O)ccc1Oc1ccc(Cl)c(Cl)c1
3480,CNC(C)c1cc(F)ccc1Oc1ccc(Cl)cc1
3481,CNCc1cc(Cl)ccc1Oc1ccc(C)c(C)c1
3590,CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H]([NH3+])C(=O)N3CC[C@H](F)C3)n2)cc1
711,O=C1N(C2CCCCC2)C[C@@H](c2ccccc2)N1C1CCN(Cc2ccc(Br)cc2)CC1
284,O=C1CN(CCc2ccc(F)cc2)CCN1[C@H]1CCc2cc(Cn3ccnc3)ccc2C1
3564,NC(=O)c1cn(-c2cccc(Br)c2)c2ncccc2c1=O
467,CCOc1cc(CCN2CCC(Nc3nc4cc(S(N)(=O)=O)ccc4o3)CC2)ccc1OC
968,N#Cc1ccc(C(=O)N2CCN(c3ccc(OC4CCN(C5CCC5)CC4)cc3)C(=O)C2)cc1
579,CCN(CC)CCN1CCN(c2cccc(Cl)c2)C1=O
3190,N#Cc1cnc(Nc2cc(NC[C@@H]3CNCCO3)c(C3CC3)cn2)cn1
3019,O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc4c3OCC4)CC2)CC1
822,O=C(NC1CCC1)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1
1703,Cc1ccc(OCCCc2cccc(CCCOc3ccc(C)cc3)[n+]2C)cc1
2440,C[n+]1c(CCCOc2ccccc2)cccc1CCCOc1ccccc1
2546,COc1ccc(OCCCc2cccc(CCCOc3ccc(OC)cc3)[n+]2C)cc1
2721,C[n+]1c(CCCOc2ccccc2Cl)cccc1CCCOc1ccccc1Cl
1388,CC(=O)OCOC(=O)CN(CC(=O)O)c1ccccc1OCCOc1ccccc1N(CC(=O)O)CC(=O)O
1390,CC(=O)OCOC(=O)CN(CC(=O)OCOC(C)=O)c1ccccc1OCCOc1ccccc1N(CC(=O)OCOC(C)=O)CC(=O)OCOC(C)=O
2300,Cc1nnc(N2CCC(F)C2)c2nn(-c3ccc(OCC(F)(F)F)cc3)c(C)c12
2187,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCCC1CCN(C)CC1
1066,CN1CC2CN(c3ccc(-c4ccc5[nH]ccc5c4)nc3)CC21
411,c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1
1181,COc1cc(C2CCNCC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1
2916,O=C(c1ccc(Cl)cc1)C1CC[N+](CCc2ccccc2)(CCc2ccccc2)CC1
1382,COc1cc(-c2cn(CC(=O)N(C3CCCCC3)C3CCCCC3)nn2)ccc1-n1cnc(C)c1
322,CN(C)CCC[C@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
339,C[NH+](C)CCC[C@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
380,O=C(/C=C/c1ccc2c(c1)C(=O)CC1(CCN(Cc3ccccc3)CC1)O2)NO
863,O=C(/C=C/c1ccc2c(c1)C(=O)CC1(CCN(Cc3ccc(F)cc3)CC1)O2)NO
3682,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nc4cccnc4s3)CC2)CC1
2875,Nc1ccnc(N2CCC3(CC2)O[C@@H](c2ccccc2)c2ccccc23)c1
2871,COc1ccc(CC[NH+](C)CCCN(C(=O)c2ccc([N+](=O)[O-])cc2)c2ccc(OC)c(OC)c2)cc1OC
3718,CS(=O)(=O)Nc1ccc(OCC(=O)NCCCc2ccc(Cl)c(Cl)c2)cc1
1074,O=C(c1cccn2ccnc12)N1CCN(CCc2ccc(F)cc2F)CC1
292,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(=O)N(C)C)ncn4-5)CC3)cccc2n1
767,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(=O)NC(C)C)ncn4-5)CC3)cccc2n1
768,CO/N=C(\C)c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc45)CC3)cccc1-2
1619,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4cncn4-5)CC3)cccc2n1
1667,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C#N)ncn4-5)CC3)cccc2n1
2933,CCOC(=O)c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc45)CC3)cccc1-2
3252,CC(=O)c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc45)CC3)cccc1-2
2075,CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c3c(c(C(=O)C=Cc4ccccc4)c2O)OC(C)(C)C=C3)c1O
536,Cc1c(C(=O)c2ccc(Cl)cc2)c2ccc(OC(F)(F)F)cc2n1Cc1cccc(O[C@@H](C)C(=O)O)c1
1701,Cc1cc(F)ccc1C1CCN(C[C@@H]2Cc3c(Cl)ccc(O)c3CN2)CC1
2475,Cc1cc(F)ccc1C1CCN(C[C@@H]2Cc3ccccc3CN2)CC1
997,O=C([C@H]1CNCC[C@@]12OCc1cc(F)c(F)cc12)N(Cc1ccc(Cl)cc1Cl)C1CC1
2392,COCCCc1cc(CCCCNS(C)(=O)=O)c(Cl)c(CN(C(=O)[C@H]2CNCC[C@@]23OCc2cc(F)c(F)cc23)C2CC2)c1
3233,Cc1c(CN(C(=O)[C@H]2CNCC[C@@]23OCc2cc(F)c(F)cc23)C2CC2)cccc1C(F)(F)F
